name,city,state,country,artistType,genres,members,yearFormed,tourStatus,needsPA,needsMics,needsDrums,needsAmps,acoustic,email,phone,social,website,description,expectedDraw,tourRadius
"The Replacements","Minneapolis","MN","USA","band","punk,alternative,rock",4,1979,"hiatus",true,true,true,true,false,"booking@replacements.com","","@replacements","replacements.com","Legendary Minneapolis punk band that influenced a generation of alternative rock musicians.","500-1000","national"
"Sleater-Kinney","Olympia","WA","USA","band","riot grrrl,punk,indie",3,1994,"active",true,true,true,true,false,"booking@sleaterkinney.com","","@sleaterkinney","sleaterkinney.com","Influential riot grrrl trio known for intricate guitar work and powerful vocals.","400-1200","national"
"Fugazi","Washington","DC","USA","band","post-hardcore,punk",4,1987,"hiatus",true,true,true,true,false,"dischord@dischord.com","","@fugazi_official","fugazi.com","Pioneering post-hardcore band known for DIY ethics and $5 shows.","800-1500","national"
"Lightning Bolt","Providence","RI","USA","duo","noise rock,experimental",2,1994,"active",true,true,true,true,false,"booking@lightningbolt.com","","@lightningboltduo","lightningbolt.com","Explosive noise rock duo featuring drums and bass guitar through massive amplification.","300-600","regional"
"Against Me!","Gainesville","FL","USA","band","punk,folk punk",4,1997,"active",true,true,true,true,false,"booking@againstme.net","","@againstme","againstme.net","Anarchist folk punk band that evolved into mainstream punk rock.","600-1500","national"
"Bikini Kill","Olympia","WA","USA","band","riot grrrl,punk",4,1990,"reformed",true,true,true,true,false,"booking@bikinikiill.com","","@bikinikiill","bikinikiill.com","Pioneering riot grrrl band fronted by Kathleen Hanna.","800-2000","national"
"Minor Threat","Washington","DC","USA","band","hardcore punk,straight edge",4,1980,"defunct",true,true,true,true,false,"dischord@dischord.com","","@minorthreat","dischord.com","Seminal straight edge hardcore band that defined DC punk.","N/A","N/A"
"Screaming Females","New Brunswick","NJ","USA","band","punk,indie rock",3,2005,"active",true,true,true,true,false,"booking@screamingfemales.com","","@screamingfemales","screamingfemales.com","New Jersey punk trio with powerful vocals and intricate guitar work.","200-800","regional"
"Dinosaur Jr.","Amherst","MA","USA","band","alternative rock,grunge",3,1984,"active",true,true,true,true,false,"booking@dinosaurjr.com","","@dinosaurjr","dinosaurjr.com","Influential alternative rock band from Western Massachusetts.","500-1500","national"
"Guided by Voices","Dayton","OH","USA","band","indie rock,lo-fi",4,1983,"active",true,true,true,true,false,"booking@gbv.com","","@guidedbyvoices","guidedbyvoices.com","Prolific indie rock band known for lo-fi recordings and brief songs.","300-1000","national"
"Patti Smith","New York","NY","USA","solo","punk,poetry,rock",1,1974,"active",true,true,false,true,false,"booking@pattismith.net","","@thisispattismith","pattismith.net","Poet laureate of punk rock, blending literature with electric guitar.","800-3000","international"
"Henry Rollins","Los Angeles","CA","USA","solo","spoken word,punk",1,1981,"active",true,true,false,false,false,"booking@henryrollins.com","","@henryrollins","henryrollins.com","Former Black Flag frontman turned spoken word performer and author.","400-1200","national"
