name,address,city,state,zip,phone,email,website,capacity,venue_type,diy_friendly,all_ages,genres,booking_contact,notes,source
AS220,115 Empire St,Providence,RI,02903,(401) 831-9327,info@as220.org,http://www.as220.org,200,gallery,true,true,"experimental, punk, noise, performance art",booking@as220.org,Legendary all-ages arts space and gallery,public_data
The Phoenix,447 Broadway,Providence,RI,02909,(401) 421-7735,info@lupos.com,http://www.lupos.com,500,club,true,true,"punk, metal, indie rock, hardcore",booking@lupos.com,Federal Hill venue with strong local support,public_data
Dusk,301 Harris Ave,Providence,RI,02909,(401) 781-9200,info@duskprovidence.com,http://www.duskprovidence.com,200,bar,true,false,"indie rock, electronic, experimental",booking@duskprovidence.com,West Side bar with regular live music,public_data
The Met,1005 Main St,Pawtucket,RI,02860,(401) 729-1005,info@themetri.com,http://www.themetri.com,3000,theater,false,true,"indie rock, alternative, electronic",booking@themetri.com,Historic Pawtucket theater,public_data
Columbus Theatre,270 Broadway,Providence,RI,02903,(401) 621-9660,info@columbustheatre.com,http://www.columbustheatre.com,1200,theater,false,true,"indie rock, folk, alternative",booking@columbustheatre.com,Federal Hill historic theater,public_data
The Strand Ballroom & Theatre,79 Washington St,Providence,RI,02903,(401) 272-3285,info@thestrandri.com,http://www.thestrandri.com,900,theater,false,true,"indie rock, alternative, jazz",booking@thestrandri.com,Downtown historic theater,public_data
The Stadium Theatre,28 Monument Square,Woonsocket,RI,02895,(401) 762-4545,info@stadiumtheatre.com,http://www.stadiumtheatre.com,1100,theater,true,true,"indie rock, punk, alternative",booking@stadiumtheatre.com,Historic Woonsocket venue,public_data
Fete Music Hall,103 Dike St,Providence,RI,02909,(401) 383-1112,info@fetemusic.com,http://www.fetemusic.com,700,warehouse,true,true,"electronic, indie rock, hip-hop",booking@fetemusic.com,West Side warehouse venue,public_data
The Call,15 Elbow St,Providence,RI,02903,(401) 751-2255,info@thecallbar.com,http://www.thecallbar.com,150,bar,true,false,"punk, indie rock, alternative",booking@thecallbar.com,Downtown dive bar,public_data
Alchemy,71 Richmond St,Providence,RI,02903,(401) 273-7327,info@alchemybar.com,http://www.alchemybar.com,100,bar,true,false,"indie rock, folk, experimental",booking@alchemybar.com,West Side neighborhood bar,public_data
The Parlour,1119 N Main St,Providence,RI,02904,(401) 751-2827,info@theparlourprovidence.com,http://www.theparlourprovidence.com,75,bar,true,false,"indie rock, punk, acoustic",booking@theparlourprovidence.com,Charles neighborhood dive,public_data
Askew,130 Mathewson St,Providence,RI,02903,(401) 521-2115,info@askewpvd.com,http://www.askewpvd.com,80,bar,true,false,"experimental, electronic, noise",booking@askewpvd.com,Downtown bar supporting experimental music,public_data
The Wild Colonial Tavern,250 S Water St,Providence,RI,02903,(401) 621-9463,info@wildcolonial.com,http://www.wildcolonial.com,200,bar,true,false,"blues, rock, indie",booking@wildcolonial.com,South Providence bar with regular live music,public_data
Lupo's Heartbreak Hotel,79 Washington St,Providence,RI,02903,(401) 272-5876,info@lupos.com,http://www.lupos.com,800,club,false,true,"alternative, indie rock, punk",booking@lupos.com,Downtown venue in Strand building,public_data
The Greenwich Odeum,59 Main St,East Greenwich,RI,02818,(401) 885-9119,info@greenwichodeum.com,http://www.greenwichodeum.com,300,theater,true,true,"folk, indie rock, jazz",booking@greenwichodeum.com,Intimate theater in historic building,public_data
The Stone Soup Coffeehouse,4 Kingstown Rd,Narragansett,RI,02882,(401) 284-4738,info@stonesoupcoffeehouse.com,http://www.stonesoupcoffeehouse.com,100,coffeehouse,true,true,"folk, acoustic, singer-songwriter",booking@stonesoupcoffeehouse.com,Acoustic venue in Narragansett,public_data
The Rusty Nail,1190 Oaklawn Ave,Cranston,RI,02920,(401) 942-4062,info@rustynailri.com,http://www.rustynailri.com,200,bar,true,false,"rock, blues, country",booking@rustynailri.com,Cranston bar with live music,public_data
The Knickerbocker Cafe,35 Knickerbocker Ave,Westerly,RI,02891,(401) 596-8811,info@knickerbockercafe.com,http://www.knickerbockercafe.com,150,cafe,true,false,"folk, indie rock, jazz",booking@knickerbockercafe.com,Westerly cafe with intimate performances,public_data
The Music Hall,28 Chestnut St,Newport,RI,02840,(401) 848-5055,info@newportmusichall.com,http://www.newportmusichall.com,600,theater,true,true,"indie rock, folk, alternative",booking@newportmusichall.com,Historic Newport venue,public_data
One Pelham East,270 Thames St,Newport,RI,02840,(401) 847-9460,info@onepelhameast.com,http://www.onepelhameast.com,300,restaurant,true,false,"jazz, indie rock, folk",booking@onepelhameast.com,Newport restaurant with upstairs venue,public_data
The JPT Film & Event Center,1 Prospect St,Newport,RI,02840,(401) 847-4474,info@jptfilm.org,http://www.jptfilm.org,350,cinema,true,true,"indie rock, experimental, film",booking@jptfilm.org,Newport cinema that hosts concerts,public_data
The Narrows Center for the Arts,16 Anawan St,Fall River,MA,02721,(508) 324-1926,info@narrowscenter.org,http://www.narrowscenter.org,500,theater,true,true,"folk, indie rock, world music",booking@narrowscenter.org,Fall River arts center near RI border,public_data
The Tavern,37 Main St,East Greenwich,RI,02818,(401) 884-5472,info@taverneg.com,http://www.taverneg.com,100,bar,true,false,"rock, blues, indie",booking@taverneg.com,East Greenwich neighborhood bar,public_data
Gillary's Restaurant & Bar,198 Thames St,Bristol,RI,02809,(401) 396-9744,info@gillarys.com,http://www.gillarys.com,80,restaurant,true,false,"folk, acoustic, indie rock",booking@gillarys.com,Bristol restaurant with music nights,public_data
The Spinning Wheel,23 Prospect St,Woonsocket,RI,02895,(401) 762-9985,info@spinningwheelri.com,http://www.spinningwheelri.com,150,bar,true,false,"rock, country, blues",booking@spinningwheelri.com,Woonsocket dive bar,public_data
AS220 Labs,95 Empire St,Providence,RI,02903,(401) 831-9327,labs@as220.org,http://www.as220.org,100,workshop,true,true,"experimental, electronic, performance",labs@as220.org,AS220's experimental media lab space,public_data
The Big Nazo Lab,1 Davol Square,Providence,RI,02903,(401) 654-8780,info@bignazo.com,http://www.bignazo.com,150,studio,true,true,"experimental, performance art, avant-garde",booking@bignazo.com,Performance art space and puppet theater,public_data
Groundwerx,1 Davol Square,Providence,RI,02903,(401) 454-2004,info@groundwerxdance.org,http://www.groundwerxdance.org,200,studio,true,true,"experimental, dance, performance",booking@groundwerxdance.org,Dance studio that hosts experimental performances,public_data
The Steel Yard,27 Sims Ave,Providence,RI,02909,(401) 273-7827,info@thesteelyard.org,http://www.thesteelyard.org,300,warehouse,true,true,"experimental, punk, industrial",booking@thesteelyard.org,Artist collective and performance space,public_data
Trinity Repertory Company,201 Washington St,Providence,RI,02903,(401) 351-4242,info@trinityrep.com,http://www.trinityrep.com,400,theater,false,true,"theater, experimental, cabaret",booking@trinityrep.com,Professional theater that occasionally hosts music,public_data
The Warwick Musical Theatre,3299 Post Rd,Warwick,RI,02886,(401) 921-6800,info@warwickmusicaltheatre.org,http://www.warwickmusicaltheatre.org,500,theater,false,true,"musical theater, folk, indie rock",booking@warwickmusicaltheatre.org,Community theater in Warwick,public_data
The Blackstone River Theatre,549 Broad St,Cumberland,RI,02864,(401) 725-9272,info@riverfolk.org,http://www.riverfolk.org,300,theater,true,true,"folk, world music, indie rock",booking@riverfolk.org,Folk music venue in Cumberland,public_data
The Commons Lunch,903 Broad St,Providence,RI,02905,(401) 751-5151,info@commonslunch.com,http://www.commonslunch.com,50,restaurant,true,true,"acoustic, folk, indie",booking@commonslunch.com,Elmwood restaurant with acoustic performances,public_data
Aurora Providence,276 Greenville Ave,Johnston,RI,02919,(401) 231-9070,info@auroraprovidence.com,http://www.auroraprovidence.com,400,club,true,false,"electronic, techno, house",booking@auroraprovidence.com,Electronic music club,public_data
The Century Lounge,150 Chestnut St,Providence,RI,02903,(401) 751-2255,info@centurylounge.com,http://www.centurylounge.com,200,lounge,true,false,"jazz, indie rock, electronic",booking@centurylounge.com,Downtown cocktail lounge with live music,public_data
The Spot Underground,1210 Oaklawn Ave,Cranston,RI,02920,(401) 946-5348,info@spotunderground.com,http://www.spotunderground.com,150,club,true,false,"punk, metal, hardcore",booking@spotunderground.com,Cranston venue for heavier acts,public_data
The Foundry,235 Promenade St,Providence,RI,02908,(401) 861-4445,info@foundrypvd.com,http://www.foundrypvd.com,300,warehouse,true,false,"industrial, electronic, experimental",booking@foundrypvd.com,Industrial space for experimental events,public_data
The Complex,180 Pine St,Providence,RI,02903,(401) 751-4263,info@complexri.com,http://www.complexri.com,250,club,true,false,"hip-hop, R&B, electronic",booking@complexri.com,Downtown club with urban music focus,public_data
Ocean House,1 Bluff Ave,Watch Hill,RI,02891,(401) 584-7000,info@oceanhouseri.com,http://www.oceanhouseri.com,200,hotel,false,false,"jazz, folk, classical",booking@oceanhouseri.com,Luxury hotel with occasional performances,public_data
The Coast Guard House,40 Ocean Rd,Narragansett,RI,02882,(401) 789-0700,info@thecoastguardhouse.com,http://www.thecoastguardhouse.com,150,restaurant,true,false,"acoustic, folk, jazz",booking@thecoastguardhouse.com,Oceanfront restaurant with music,public_data
The Shanty,1 Ocean Ave,Narragansett,RI,02882,(401) 782-0210,info@theshantyri.com,http://www.theshantyri.com,100,bar,true,false,"rock, reggae, surf",booking@theshantyri.com,Beach bar with live music,public_data
The Deck,1 Goat Island,Newport,RI,02840,(401) 847-2244,info@thedecknewport.com,http://www.thedecknewport.com,200,restaurant,true,false,"acoustic, reggae, rock",booking@thedecknewport.com,Waterfront restaurant with outdoor stage,public_data
